IdShip,ShipSource,ShipName,ShipDateMonth,ShipDateYear,ShipTakenLocation,ShipLastage,ShipTonnage,ShipAge,ShipCrewTot,ShipCrewNat,ShipMustPlace,ShipOwnRes,ShipOwnGender,ShipSkipPart,ShipJournEnd,ShipJournBegin,ShipConstrPlace,ShipMustRole,ShipComments,period_coding,OR_place,OR_country,OR_region,OR_northsouth,OR_latitude,OR_longitude,OR_google,OR_coastalKM,OR_coastalclass,OR_placeclass,JE_place,JE_country,JE_region,JE_northsouth,JE_latitude,JE_longitude,JE_google,JE_coastalKM,JE_coastalclass,JE_placeclass,JB_place,JB_country,JB_region,JB_northsouth,JB_latitude,JB_longitude,JB_google,JB_coastalKM,JB_coastalclass,JB_placeclass,SHIP_CONV_TONNAGE,OR_histpol,JE_histpol,JB_histpol,OR_altscan
892,48,Angelica de Redon,2,1702,,,40,2,6,,,Redon Britany,,Yes,Brest,Bordeaux,Redon,TRUE,,1,Redon,France,Fra,SE,47.65102,-2.08593,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=47.65102,-2.08593",31.14,waterway,P,Brest,France,Fra,SE,48.390228,-4.48622,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=48.390228,-4.48622",4.92,coastal,P,Bordeaux,France,Fra,SE,44.836632,-0.58105,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=44.836632,-0.58105",9.56,coastal,P,40,France,France,France,
896,48,St Andrew,9,1702,,,59,1,,All French,,Purney,,Yes,Purnay,New Foundland,Purney,FALSE,,1,Pont l'Abbe,France,Fra,SE,47.866852,-4.22391,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=47.866852,-4.22391",4.18,coastal,P,Pont l'Abbe,France,Fra,SE,47.866852,-4.22391,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=47.866852,-4.22391",4.18,coastal,P,Newfoundland,Canada,NorthAm,AM,53.456805,-60.21835,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=53.456805,-60.21835",5.63,coastal,R,59,France,France,British/French Empire,
897,48,St Anthony,9,1702,,,100,5,,French,,Bayou,,No data on form,Bayou,Tropas,Bayou,FALSE,,1,Bayonne,France,Fra,SE,43.49287,-1.47627,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=43.49287,-1.47627",10.17,coastal,P,Bayonne,France,Fra,SE,43.49287,-1.47627,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=43.49287,-1.47627",10.17,coastal,P,Trapani,Italy,Medit,SE,38.192705,14.370535,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=38.192705,14.370535",14.91,coastal,p,100,France,France,Italian kingdoms,
898,48,Angel Gabrielle,2,1702,,46,,,9,Christianssand,Christianssand,Christianssand,,Yes,Bordeaux,Christianssand,Christianssand,FALSE,,1,Kristiansand,Norway,Scan,NE,58.14379883,7.994840145,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=58.143798828125,7.99484014511108",2.64,coastal,P,Bordeaux,France,Fra,SE,44.836632,-0.58105,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=44.836632,-0.58105",9.56,coastal,P,Kristiansand,Norway,Scan,NE,58.14379883,7.994840145,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=58.143798828125,7.99484014511108",2.64,coastal,P,92,Denmark-Norway,France,Denmark-Norway,WEST_SCAN
899,48,City of Aalborg,12,1702,,182,,9,,Danish,,Aalborg,,No,Laugesund Norway,Aalborg Denmark,Grocka Norway,FALSE,,1,Aalborg,Denmark,Scan,NE,57.049339,9.91632,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=57.049339,9.91632",6.72,coastal,P,,,,,,,,,,,Aalborg,Denmark,Scan,NE,57.049339,9.91632,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=57.049339,9.91632",6.72,coastal,P,364,Denmark,,Denmark,WEST_SCAN
900,48,Arym of Flensborg,3,1702,,,,,11,"Norweigans, Danes 1 swede","Bergen, Amsterdam, Dunkirk and Plymouth",Bergen,,Yes,Bordeaux,Amsterdam,,FALSE,,1,Bergen,Norway,Scan,NE,60.390678,5.33277,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=60.390678,5.33277",3.82,coastal,P,Bordeaux,France,Fra,SE,44.836632,-0.58105,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=44.836632,-0.58105",9.56,coastal,P,Amsterdam,Netherlands,Ned,NE,52.373081,4.89333,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=52.373081,4.89333",28.61,coastal,P,,Denmark-Norway,France,Netherlands,WEST_SCAN
901,48,St Anne de St. Malo,9,1702,,,,,,All French,,St Malo,,Yes,,St Malo France,St Malo,FALSE,,1,Saint-Malo,France,Fra,SE,48.65049,-2.02328,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=48.65049,-2.02328",1.68,coastal,P,,,,,,,,,,,Saint-Malo,France,Fra,SE,48.65049,-2.02328,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=48.65049,-2.02328",1.68,coastal,P,,France,,France,
902,48,Angel Gabriel,8,1692,,,,,,,,Stockholm,,No,,Amsterdam Netherlands,Stockholm,FALSE,,1,Stockholm,Sweden,Scan,NE,59.332298,18.062941,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=59.332298,18.062941",12.35,coastal,P,,,,,,,,,,,Amsterdam,Netherlands,Ned,NE,52.373081,4.89333,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=52.373081,4.89333",28.61,coastal,P,,Sweden,,Netherlands,EAST_SCAN
903,48,St Anne of Newport,6,1702,,,32,,6,Dutch (Flanders),,Newport Holland,,Yes,Newport Holland,Oaston,Dunquerke,FALSE,,1,Nieuport,Belgium,Ned,NE,51.128515,2.750785,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=51.128515,2.750785",4,coastal,p,Nieuport,Belgium,Ned,NE,51.128515,2.750785,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=51.128515,2.750785",4,coastal,p,Ostende,Belgium,Ned,NE,51.231258,2.9127,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=51.231258,2.9127",7.56,coastal,P,32,United Provinces/Southern Netherlands,United Provinces/Southern Netherlands,United Provinces/Southern Netherlands,
904,48,St Andrew de Nantes,9,1702,,,,4,,"French, English",,Nantes,,Yes,Fort Royal Mauritius,Nantes France,Nantes,FALSE,,1,Nantes,France,Fra,SE,47.218109,-1.55306,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=47.218109,-1.55306",17.3,coastal,P,,,,,,,,,,,Nantes,France,Fra,SE,47.218109,-1.55306,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=47.218109,-1.55306",17.3,coastal,P,,France,,France,
905,48,St Anne,6,1703,,,120,15,12,"Norwegian, French, Danish",,Veddevalla,,Yes,Oaston,Veddevalla,,FALSE,,1,Uddevalla,Sweden,Scan,NE,58.35099,11.93264,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=58.35099,11.93264",5.73,coastal,P,Ostende,Belgium,Ned,NE,51.231258,2.9127,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=51.231258,2.9127",7.56,coastal,P,Uddevalla,Sweden,Scan,NE,58.35099,11.93264,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=58.35099,11.93264",5.73,coastal,P,120,Sweden,United Provinces/Southern Netherlands,Sweden,EAST_SCAN
906,48,St Anne,3,1703,,58,,,13,Danes and 1 Dutch,,Dram Norway,,No,Copenhagen,Norway,Amsterdam Holland,FALSE,,1,Drammen,Norway,Scan,NE,59.74749,10.184,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=59.74749,10.184",12.1,coastal,P,Copenhagen,Denmark,Scan,NE,55.675659,12.56761,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=55.675659,12.56761",0.15983431,coastal,P,Norway,Norway,Scan,NE,59.912312,10.74998,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=59.912312,10.74998",3.47,coastal,C,116,Denmark-Norway,Denmark,Denmark-Norway,WEST_SCAN
907,48,St Antonio di Padua,7,1703,,40,150,,,All Genoa except 1 pilot from Unknown (hole in the paper) and the surgeon fraóm Gascogne,,Dunkirk,,No,Hamburg,Marseilles,Marseille,FALSE,,1,Dunkirk,France,Fra,SE,51.037048,2.37679,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=51.037048,2.37679",2.75,coastal,P,Hamburg,Germany,Ger,NE,53.553341,9.99247,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=53.553341,9.99247",18.31854868,coastal,P,Marseille,France,Fra,SE,43.293701,5.37247,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=43.293701,5.37247",11.88,coastal,P,80,France,German Kingdoms,France,
908,48,Angell Michael,8,1703,,,,,,"Swedes, danes, norwegians",,Sweden,,Yes,Rochelle,Sweden,Norway,FALSE,,1,Sweden,Sweden,Scan,NE,62.198448,17.56622,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=62.198448,17.56622",4.2,coastal,C,"La Rochelle, Charente-Maritime, France",France,Fra,SE,46.159432,-1.15164,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=46.159432,-1.15164",2.28,coastal,P,Sweden,Sweden,Scan,NE,62.198448,17.56622,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=62.198448,17.56622",4.2,coastal,C,,Sweden,France,Sweden,EAST_SCAN
909,48,Abrahams Sacrifice (Sacrifice of Abraham),7,1704,,30,,,7,All danes except for one steersman from Holland,Copenhagen,Copenhagen,,,Copenhagen,Rendsburg,,FALSE,,1,Copenhagen,Denmark,Scan,NE,55.675659,12.56761,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=55.675659,12.56761",0.15983431,coastal,P,Copenhagen,Denmark,Scan,NE,55.675659,12.56761,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=55.675659,12.56761",0.15983431,coastal,P,,,,,,,,,,,60,Denmark,Denmark,,WEST_SCAN
910,48,Asumption de Maria,4,1704,,,200,,,All Spaniards and Italians and a French pilot,,Najorra,,Yes,Dunkirke,Cadiz,Naples,FALSE,,1,Navarra,Spain,Medit,SE,42.612421,-1.611725,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=42.612421,-1.611725",58.7,coastal,P,Dunkirk,France,Fra,SE,51.037048,2.37679,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=51.037048,2.37679",2.75,coastal,P,Cadiz,Spain,Medit,SE,36.529861,-6.29024,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=36.529861,-6.29024",4.68,coastal,P,200,Spain,France,Spain,
911,48,Angell Gabriell of Christianssand,5,1704,,,100,8,7,Norwegian,All onboard in Christianssand Norway,Christianssand,,Yes,Christianssand,Bordeaux,Lonis near Christianssand,FALSE,,1,Kristiansand,Norway,Scan,NE,58.14379883,7.994840145,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=58.143798828125,7.99484014511108",2.64,coastal,P,Kristiansand,Norway,Scan,NE,58.14379883,7.994840145,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=58.143798828125,7.99484014511108",2.64,coastal,P,Bordeaux,France,Fra,SE,44.836632,-0.58105,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=44.836632,-0.58105",9.56,coastal,P,100,Denmark-Norway,Denmark-Norway,France,WEST_SCAN
912,49,St Anne D'Agon,12,1704,Guernsey,,15,5,4,All French,,Parish of Agon,,Yes,St Malo,Chacaulain in the bay of Brest,French built,FALSE,,1,Agon,France,Fra,SE,49.042591,-1.57644,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=49.042591,-1.57644",9.24,coastal,P,Saint-Malo,France,Fra,SE,48.65049,-2.02328,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=48.65049,-2.02328",1.68,coastal,P,Le Relecq-Kerhuon,France,Fra,SE,48.408015,-4.398229,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=48.408015,-4.398229",1,coastal,p,15,France,France,France,
913,49,L'Amiable de Diep,4,1704,,,56,4,15,French,,Diepe,,No,Bordeaux,Diepe,French built,FALSE,,1,Dieppe,France,Fra,SE,49.927151,1.07938,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=49.927151,1.07938",10.2,coastal,P,Bordeaux,France,Fra,SE,44.836632,-0.58105,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=44.836632,-0.58105",9.56,coastal,P,Dieppe,France,Fra,SE,49.927151,1.07938,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=49.927151,1.07938",10.2,coastal,P,56,France,France,France,
914,49,Albarcio of Rotterdam,3,1704,,,60,5,,All from Zee,,Rotterdam,,No,Bordeaux,Rotterdam,Holland built,FALSE,,1,Rotterdam,Netherlands,Ned,NE,51.922871,4.47849,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=51.922871,4.47849",37.84770702,waterway,P,Bordeaux,France,Fra,SE,44.836632,-0.58105,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=44.836632,-0.58105",9.56,coastal,P,Rotterdam,Netherlands,Ned,NE,51.922871,4.47849,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=51.922871,4.47849",37.84770702,waterway,P,60,Netherlands,France,Netherlands,
915,49,St Anotonio & St Romana,5,1706,,,23,,7,All Spanish,Ribadiones in the Kingdom of Gallicia,Castropole,,Yes,,Castropole,English,FALSE,,1,Castropol,Spain,Medit,SE,43.524231,-7.02788,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=43.524231,-7.02788",2.28,coastal,P,,,,,,,,,,,Castropol,Spain,Medit,SE,43.524231,-7.02788,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=43.524231,-7.02788",2.28,coastal,P,23,Spain,,Spain,
916,49,Adventure of Dublin,2,1705,,,45,4,7,Irish Scottish,Dublin,Dublin,,No,Middlesboroguh,Dublin,Histon Water England,FALSE,,1,Dublin,Ireland,Brit,NE,53.348068,-6.24827,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=53.348068,-6.24827",10.91,coastal,P,Middelburg,Netherlands,Ned,NE,51.495441,3.60965,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=51.495441,3.60965",14.26,coastal,P,Dublin,Ireland,Brit,NE,53.348068,-6.24827,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=53.348068,-6.24827",10.91,coastal,P,45,Kingdom of Ireland,Netherlands,Kingdom of Ireland,
917,49,St Andrew,3,1704,,,,10,10,All danes (norwegians),,Christiania,,No data on form,Christiania,Bordeaux,Christiania,FALSE,,1,Oslo,Norway,Scan,NE,59.912281,10.74998,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=59.912281,10.74998",4.804661527,coastal,P,Oslo,Norway,Scan,NE,59.912281,10.74998,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=59.912281,10.74998",4.804661527,coastal,P,Bordeaux,France,Fra,SE,44.836632,-0.58105,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=44.836632,-0.58105",9.56,coastal,P,,Denmark-Norway,Denmark-Norway,France,WEST_SCAN
918,49,L'Amiable Esther de Diep,11,1706,,,60,,9,french,,Diepe,,No,Diepe,Diepe,French built,FALSE,,1,Dieppe,France,Fra,SE,49.927151,1.07938,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=49.927151,1.07938",10.2,coastal,P,Dieppe,France,Fra,SE,49.927151,1.07938,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=49.927151,1.07938",10.2,coastal,P,Dieppe,France,Fra,SE,49.927151,1.07938,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=49.927151,1.07938",10.2,coastal,P,60,France,France,France,
919,49,L'Amiable Margrett de Diepe,2,1704,Guernsey,,18,4,6,french,,Diepe,,Yes,Diepe,Rochelle,French built,FALSE,,1,Dieppe,France,Fra,SE,49.927151,1.07938,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=49.927151,1.07938",10.2,coastal,P,Dieppe,France,Fra,SE,49.927151,1.07938,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=49.927151,1.07938",10.2,coastal,P,"La Rochelle, Charente-Maritime, France",France,Fra,SE,46.159432,-1.15164,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=46.159432,-1.15164",2.28,coastal,P,18,France,France,France,
920,49,Anna Dorothea,1,1705,,,20,1,6,"Danes, norwegians",Foburgh,Foburgh,,Yes,Tundering,Bordeaux,Danish built,FALSE,,1,Koberg,Germany,Ger,NE,53.638439,10.52419,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=53.638439,10.52419",33,inland,p,Toenning,Germany,Ger,NE,54.314336,8.9375,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=54.314336,8.9375",0,coastal,p,Bordeaux,France,Fra,SE,44.836632,-0.58105,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=44.836632,-0.58105",9.56,coastal,P,20,German Kingdoms,German Kingdoms,France,
921,49,St Aaron de St Malo,11,1704,,,200,4,40,french,,St Malo,,Yes,New Foundland,St Malo,,FALSE,,1,Saint-Malo,France,Fra,SE,48.65049,-2.02328,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=48.65049,-2.02328",1.68,coastal,P,Newfoundland,Canada,NorthAm,AM,53.456805,-60.21835,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=53.456805,-60.21835",5.63,coastal,R,Saint-Malo,France,Fra,SE,48.65049,-2.02328,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=48.65049,-2.02328",1.68,coastal,P,200,France,British/French Empire,France,
922,49,St Anthony de Nantes,2,1704,,,30,10,7,,,Nantes,,No,Bridges Flanders,Nantes,French build,FALSE,,1,Nantes,France,Fra,SE,47.218109,-1.55306,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=47.218109,-1.55306",17.3,coastal,P,Brugge,Belgium,Ned,NE,51.208481,3.22451,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=51.208481,3.22451",13.24,coastal,P,Nantes,France,Fra,SE,47.218109,-1.55306,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=47.218109,-1.55306",17.3,coastal,P,30,France,United Provinces/Southern Netherlands,France,
923,49,Adwarth of Younghall,2,1704,,,,5,,All Irish except the master,,Younghall,,No,Rochelle,Younghall,Newford Ireland,FALSE,,1,"Youghal, Co. Cork",Ireland,Brit,NE,51.956879,-7.85177,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=51.956879,-7.85177",1.56,coastal,P,"La Rochelle, Charente-Maritime, France",France,Fra,SE,46.159432,-1.15164,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=46.159432,-1.15164",2.28,coastal,P,"Youghal, Co. Cork",Ireland,Brit,NE,51.956879,-7.85177,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=51.956879,-7.85177",1.56,coastal,P,,Kingdom of Ireland,France,Kingdom of Ireland,
924,49,St Anthony de Padua,4,1704,,,100,9,13,All Flanderlings,,Ostend,,No,Ostend,Nantes,Dutch built,FALSE,,1,Ostende,Belgium,Ned,NE,51.231258,2.9127,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=51.231258,2.9127",7.56,coastal,P,Ostende,Belgium,Ned,NE,51.231258,2.9127,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=51.231258,2.9127",7.56,coastal,P,Nantes,France,Fra,SE,47.218109,-1.55306,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=47.218109,-1.55306",17.3,coastal,P,100,United Provinces/Southern Netherlands,United Provinces/Southern Netherlands,France,
925,49,St Anthony de Bordeaux,11,1704,,,30,,5,all frenchmen,,Bordeaux,,Yes,Dunkirk,Bordeaux,french built,FALSE,,1,Bordeaux,France,Fra,SE,44.836632,-0.58105,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=44.836632,-0.58105",9.56,coastal,P,Dunkirk,France,Fra,SE,51.037048,2.37679,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=51.037048,2.37679",2.75,coastal,P,Bordeaux,France,Fra,SE,44.836632,-0.58105,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=44.836632,-0.58105",9.56,coastal,P,30,France,France,France,
926,49,St Anne of Diep,1,1705,,,50,4,9,french,,Bordeaux,,No,Dunkirk,Lisbourne,french built,FALSE,,1,Bordeaux,France,Fra,SE,44.836632,-0.58105,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=44.836632,-0.58105",9.56,coastal,P,Dunkirk,France,Fra,SE,51.037048,2.37679,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=51.037048,2.37679",2.75,coastal,P,Lisbon,Portugal,Medit,SE,38.72572,-9.15025,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=38.72572,-9.15025",3.71,coastal,P,50,France,France,Portugal,
927,49,St Anthony de Padua,11,1706,,,300,8,33,all French,Haverdigras,Haverdigras,,No,St Mallon Breage [Newfoundland],Haverdigras,Amsterdam,FALSE,,1,Le Havre,France,Fra,SE,49.493488,0.1009,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=49.493488,0.1009",1.92,coastal,P,,,,,,,,,,,Le Havre,France,Fra,SE,49.493488,0.1009,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=49.493488,0.1009",1.92,coastal,P,300,France,,France,
928,49,St Antonio,4,1706,,,80,,9,all spaniards,Porto Galletto,Bilboa,,No,Amsterdam,Bilboa,Spain,FALSE,,1,Bilbao,Spain,Medit,SE,43.26865,-2.94612,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=43.26865,-2.94612",15.2,coastal,P,Amsterdam,Netherlands,Ned,NE,52.373081,4.89333,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=52.373081,4.89333",28.61,coastal,P,Bilbao,Spain,Medit,SE,43.26865,-2.94612,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=43.26865,-2.94612",15.2,coastal,P,80,Spain,Netherlands,Spain,
929,49,Ameriquain,11,1706,,,150,12,48,French,,Bordeaux and Martinique,,Yes,Martinique,Bordeaux,French,FALSE,,1,Bordeaux,France,Fra,SE,44.836632,-0.58105,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=44.836632,-0.58105",9.56,coastal,P,Martinique,Martinique,Caribbean,AM,14.630625,-61.02281,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=14.630625,-61.02281",2.87,coastal,C,Bordeaux,France,Fra,SE,44.836632,-0.58105,"http://maps.google.com/maps?f=q&hl=en&geocode=&q=44.836632,-0.58105",9.56,coastal,P,150,France,French Empire,France,
